,name,mobility,material,search,defence,durability,supply,move,attack,occupation,spec,wait
infantry,軽歩兵,12,100,2,10,100,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
heavy,重装兵,8,80,1,30,200,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
spy,諜報員,16,10,5,2,50,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
fire,炎峰魔士,12,100,1,100,300,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
ice,雹牢魔士,120,100,1,100,300,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
thunder,雷翔魔士,20,100,1,100,300,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
ground,大地魔士,12,100,1,100,300,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
king,王藤魔士,12,100,1,100,300,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
weapon,双霊魔士,12,100,1,100,300,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
relief,愛貴魔士,12,100,1,100,300,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
guardian,樹奏魔士,12,100,1,100,300,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
dark,真影魔士,18,100,1,100,300,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
light,光琴魔士,12,100,1,100,300,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
